,SorterId,q_group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1,Q11_0_GROUP,21,25,12,19,28,4,20,59,54,1,,,,,,,,,,,
2,1,Q11_1_GROUP,2,6,9,3,,,,,,,,,,,,,,,,,
3,1,Q11_10_GROUP,44,69,66,39,,,,,,,,,,,,,,,,,
4,1,Q11_11_GROUP,22,32,10,5,,,,,,,,,,,,,,,,,
5,1,Q11_2_GROUP,43,7,,,,,,,,,,,,,,,,,,,
6,1,Q11_3_GROUP,48,17,13,49,18,8,,,,,,,,,,,,,,,
7,1,Q11_4_GROUP,65,57,64,42,50,68,56,51,52,62,11,,,,,,,,,,
8,1,Q11_5_GROUP,60,58,16,,,,,,,,,,,,,,,,,,
9,1,Q11_6_GROUP,45,14,53,41,67,38,37,,,,,,,,,,,,,,
10,1,Q11_7_GROUP,70,36,35,61,40,34,,,,,,,,,,,,,,,
11,1,Q11_8_GROUP,31,30,26,63,29,23,24,27,,,,,,,,,,,,,
12,1,Q11_9_GROUP,55,46,47,33,,,,,,,,,,,,,,,,,
13,2,Q11_0_GROUP,60,61,15,,,,,,,,,,,,,,,,,,
14,2,Q11_1_GROUP,2,38,26,25,33,3,40,23,37,46,47,9,55,,,,,,,,
15,2,Q11_10_GROUP,,,,,,,,,,,,,,,,,,,,,
16,2,Q11_11_GROUP,,,,,,,,,,,,,,,,,,,,,
17,2,Q11_2_GROUP,22,4,12,20,19,7,,,,,,,,,,,,,,,
18,2,Q11_3_GROUP,21,44,5,69,32,,,,,,,,,,,,,,,,
19,2,Q11_4_GROUP,24,30,31,63,29,28,27,,,,,,,,,,,,,,
20,2,Q11_5_GROUP,49,13,17,8,18,,,,,,,,,,,,,,,,
21,2,Q11_6_GROUP,36,34,35,,,,,,,,,,,,,,,,,,
22,2,Q11_7_GROUP,11,42,56,57,52,50,68,51,64,65,62,,,,,,,,,,
23,2,Q11_8_GROUP,67,53,14,41,54,70,45,,,,,,,,,,,,,,
24,2,Q11_9_GROUP,10,16,39,43,66,48,59,58,1,,,,,,,,,,,,
25,3,Q11_0_GROUP,40,37,9,3,25,38,6,2,,,,,,,,,,,,,
26,3,Q11_1_GROUP,19,43,12,54,15,20,41,4,,,,,,,,,,,,,
27,3,Q11_10_GROUP,55,7,45,59,1,44,28,14,,,,,,,,,,,,,
28,3,Q11_11_GROUP,67,53,69,50,61,,,,,,,,,,,,,,,,
29,3,Q11_2_GROUP,5,10,,,,,,,,,,,,,,,,,,,
30,3,Q11_3_GROUP,58,60,16,,,,,,,,,,,,,,,,,,
31,3,Q11_4_GROUP,47,49,46,48,66,17,8,13,,,,,,,,,,,,,
32,3,Q11_5_GROUP,57,11,,,,,,,,,,,,,,,,,,,
33,3,Q11_6_GROUP,39,22,32,21,,,,,,,,,,,,,,,,,
34,3,Q11_7_GROUP,18,34,33,36,35,,,,,,,,,,,,,,,,
35,3,Q11_8_GROUP,26,27,23,24,63,31,29,30,,,,,,,,,,,,,
36,3,Q11_9_GROUP,56,51,62,42,64,52,68,65,,,,,,,,,,,,,
37,4,Q11_0_GROUP,3,9,35,26,38,25,37,40,6,,,,,,,,,,,,
38,4,Q11_1_GROUP,1,11,43,19,15,20,12,21,42,27,54,69,32,67,22,62,60,61,10,63,4
39,4,Q11_10_GROUP,48,,,,,,,,,,,,,,,,,,,,
40,4,Q11_11_GROUP,47,,,,,,,,,,,,,,,,,,,,
41,4,Q11_2_GROUP,,,,,,,,,,,,,,,,,,,,,
42,4,Q11_3_GROUP,31,55,39,24,18,7,29,14,5,,,,,,,,,,,,
43,4,Q11_4_GROUP,23,2,,,,,,,,,,,,,,,,,,,
44,4,Q11_5_GROUP,28,,,,,,,,,,,,,,,,,,,,
45,4,Q11_6_GROUP,44,45,41,59,,,,,,,,,,,,,,,,,
46,4,Q11_7_GROUP,53,70,,,,,,,,,,,,,,,,,,,
47,4,Q11_8_GROUP,51,50,64,56,16,52,68,57,,,,,,,,,,,,,
48,4,Q11_9_GROUP,58,49,17,33,34,66,36,8,46,13,65,,,,,,,,,,
49,5,Q11_0_GROUP,25,47,33,38,26,37,3,23,2,9,6,,,,,,,,,,
50,5,Q11_1_GROUP,19,20,12,63,7,22,54,10,5,4,,,,,,,,,,,
51,5,Q11_10_GROUP,32,69,39,21,,,,,,,,,,,,,,,,,
52,5,Q11_11_GROUP,,,,,,,,,,,,,,,,,,,,,
53,5,Q11_2_GROUP,58,31,59,61,43,55,44,27,29,66,15,14,24,30,28,1,,,,,
54,5,Q11_3_GROUP,50,56,57,52,51,62,68,42,65,11,,,,,,,,,,,
55,5,Q11_4_GROUP,13,17,18,8,48,49,,,,,,,,,,,,,,,
56,5,Q11_5_GROUP,64,,,,,,,,,,,,,,,,,,,,
57,5,Q11_6_GROUP,36,35,34,70,,,,,,,,,,,,,,,,,
58,5,Q11_7_GROUP,67,53,45,41,,,,,,,,,,,,,,,,,
59,5,Q11_8_GROUP,16,60,,,,,,,,,,,,,,,,,,,
60,5,Q11_9_GROUP,40,,,,,,,,,,,,,,,,,,,,
61,6,Q11_0_GROUP,14,49,65,36,17,46,34,13,8,18,1,,,,,,,,,,
62,6,Q11_1_GROUP,2,37,40,38,25,35,9,10,23,6,,,,,,,,,,,
63,6,Q11_10_GROUP,3,11,52,62,68,51,42,,,,,,,,,,,,,,
64,6,Q11_11_GROUP,,,,,,,,,,,,,,,,,,,,,
65,6,Q11_2_GROUP,20,28,67,15,19,12,55,4,,,,,,,,,,,,,
66,6,Q11_3_GROUP,5,39,32,69,21,,,,,,,,,,,,,,,,
67,6,Q11_4_GROUP,16,60,,,,,,,,,,,,,,,,,,,
68,6,Q11_5_GROUP,22,,,,,,,,,,,,,,,,,,,,
69,6,Q11_6_GROUP,31,26,27,24,29,7,63,30,,,,,,,,,,,,,
70,6,Q11_7_GROUP,43,53,54,59,45,41,,,,,,,,,,,,,,,
71,6,Q11_8_GROUP,44,,,,,,,,,,,,,,,,,,,,
72,6,Q11_9_GROUP,57,64,33,61,58,50,48,56,47,66,,,,,,,,,,,
73,7,Q11_0_GROUP,2,6,9,37,38,25,26,23,33,,,,,,,,,,,,
74,7,Q11_1_GROUP,10,5,,,,,,,,,,,,,,,,,,,
75,7,Q11_10_GROUP,65,64,62,56,42,51,68,52,50,,,,,,,,,,,,
76,7,Q11_11_GROUP,41,53,45,44,66,54,,,,,,,,,,,,,,,
77,7,Q11_2_GROUP,3,57,11,,,,,,,,,,,,,,,,,,
78,7,Q11_3_GROUP,7,15,43,4,55,67,14,,,,,,,,,,,,,,
79,7,Q11_4_GROUP,60,58,16,,,,,,,,,,,,,,,,,,
80,7,Q11_5_GROUP,39,69,19,12,28,22,21,20,32,,,,,,,,,,,,
81,7,Q11_6_GROUP,31,24,27,29,30,63,,,,,,,,,,,,,,,
82,7,Q11_7_GROUP,36,34,35,,,,,,,,,,,,,,,,,,
83,7,Q11_8_GROUP,59,1,46,61,40,47,,,,,,,,,,,,,,,
84,7,Q11_9_GROUP,8,49,17,48,18,13,,,,,,,,,,,,,,,
85,8,Q11_0_GROUP,1,,,,,,,,,,,,,,,,,,,,
86,8,Q11_1_GROUP,37,23,2,6,25,26,30,40,38,9,3,29,35,,,,,,,,
87,8,Q11_10_GROUP,,,,,,,,,,,,,,,,,,,,,
88,8,Q11_11_GROUP,,,,,,,,,,,,,,,,,,,,,
89,8,Q11_2_GROUP,24,39,28,69,63,5,,,,,,,,,,,,,,,
90,8,Q11_3_GROUP,54,41,61,43,32,22,20,21,44,45,14,4,27,19,15,59,12,7,,,
91,8,Q11_4_GROUP,33,46,49,17,10,47,34,8,36,18,13,,,,,,,,,,
92,8,Q11_5_GROUP,64,57,50,68,31,,,,,,,,,,,,,,,,
93,8,Q11_6_GROUP,51,60,55,58,16,,,,,,,,,,,,,,,,
94,8,Q11_7_GROUP,,,,,,,,,,,,,,,,,,,,,
95,8,Q11_8_GROUP,52,56,42,62,65,11,,,,,,,,,,,,,,,
96,8,Q11_9_GROUP,48,53,66,67,,,,,,,,,,,,,,,,,
