source,target
21,21
21,25
21,12
21,19
21,28
21,4
21,20
21,59
21,54
21,1
2,2
2,6
2,9
2,3
44,44
44,69
44,66
44,39
22,22
22,32
22,10
22,5
43,43
43,7
48,48
48,17
48,13
48,49
48,18
48,8
65,65
65,57
65,64
65,42
65,50
65,68
65,56
65,51
65,52
65,62
65,11
60,60
60,58
60,16
45,45
45,14
45,53
45,41
45,67
45,38
45,37
70,70
70,36
70,35
70,61
70,40
70,34
31,31
31,30
31,26
31,63
31,29
31,23
31,24
31,27
55,55
55,46
55,47
55,33
60,60
60,61
60,15
2,2
2,38
2,26
2,25
2,33
2,3
2,40
2,23
2,37
2,46
2,47
2,9
2,55
22,22
22,4
22,12
22,20
22,19
22,7
21,21
21,44
21,5
21,69
21,32
24,24
24,30
24,31
24,63
24,29
24,28
24,27
49,49
49,13
49,17
49,8
49,18
36,36
36,34
36,35
11,11
11,42
11,56
11,57
11,52
11,50
11,68
11,51
11,64
11,65
11,62
67,67
67,53
67,14
67,41
67,54
67,70
67,45
10,10
10,16
10,39
10,43
10,66
10,48
10,59
10,58
10,1
40,40
40,37
40,9
40,3
40,25
40,38
40,6
40,2
19,19
19,43
19,12
19,54
19,15
19,20
19,41
19,4
55,55
55,7
55,45
55,59
55,1
55,44
55,28
55,14
67,67
67,53
67,69
67,50
67,61
5,5
5,10
58,58
58,60
58,16
47,47
47,49
47,46
47,48
47,66
47,17
47,8
47,13
57,57
57,11
39,39
39,22
39,32
39,21
18,18
18,34
18,33
18,36
18,35
26,26
26,27
26,23
26,24
26,63
26,31
26,29
26,30
56,56
56,51
56,62
56,42
56,64
56,52
56,68
56,65
3,3
3,9
3,35
3,26
3,38
3,25
3,37
3,40
3,6
1,1
1,11
1,43
1,19
1,15
1,20
1,12
1,21
1,42
1,27
1,54
1,69
1,32
1,67
1,22
1,62
1,60
1,61
1,10
1,63
1,4
48,48
47,47
31,31
31,55
31,39
31,24
31,18
31,7
31,29
31,14
31,5
23,23
23,2
28,28
44,44
44,45
44,41
44,59
53,53
53,70
51,51
51,50
51,64
51,56
51,16
51,52
51,68
51,57
58,58
58,49
58,17
58,33
58,34
58,66
58,36
58,8
58,46
58,13
58,65
25,25
25,47
25,33
25,38
25,26
25,37
25,3
25,23
25,2
25,9
25,6
19,19
19,20
19,12
19,63
19,7
19,22
19,54
19,10
19,5
19,4
32,32
32,69
32,39
32,21
58,58
58,31
58,59
58,61
58,43
58,55
58,44
58,27
58,29
58,66
58,15
58,14
58,24
58,30
58,28
58,1
50,50
50,56
50,57
50,52
50,51
50,62
50,68
50,42
50,65
50,11
13,13
13,17
13,18
13,8
13,48
13,49
64,64
36,36
36,35
36,34
36,70
67,67
67,53
67,45
67,41
16,16
16,60
40,40
14,14
14,49
14,65
14,36
14,17
14,46
14,34
14,13
14,8
14,18
14,1
2,2
2,37
2,40
2,38
2,25
2,35
2,9
2,10
2,23
2,6
3,3
3,11
3,52
3,62
3,68
3,51
3,42
20,20
20,28
20,67
20,15
20,19
20,12
20,55
20,4
5,5
5,39
5,32
5,69
5,21
16,16
16,60
22,22
31,31
31,26
31,27
31,24
31,29
31,7
